geoid,period,Health Care Center (/100k pop),HIV
18147,2012,0,0
18149,2012,5.8705578,17.23
18151,2012,0,0
18153,2012,0,0
18155,2012,0,38.37
18157,2012,2.600013,7.9
18159,2012,0,0
18161,2012,0,0
18163,2012,3.642812,8.6
18165,2012,7.0622454,0
18167,2012,0,8.7
18169,2012,0,0
18171,2012,0,0
18173,2012,0,0
18175,2012,0,14.33
18177,2012,0,5.85
18179,2012,0,0
18181,2012,4.0467262,16.38
18183,2012,0,0
19001,2012,0,0
19003,2012,0,0
19005,2012,0,0
19007,2012,7.936758,0
19009,2012,0,0
19011,2012,0,15.49
19013,2012,1.7419647,3.03
19015,2012,0,15.27
19017,2012,0,0
19019,2012,0,0
19021,2012,4.4073824,19.43
19023,2012,5.1663894,0
19025,2012,0,0
19027,2012,0,19.39
19029,2012,0,0
19031,2012,0,0
19033,2012,0,6.85
19035,2012,0,0
19037,2012,0,0
19039,2012,0,0
19041,2012,0,0
19043,2012,0,0
19045,2012,0,8.21
19047,2012,0,0
19049,2012,0,5.56
19051,2012,0,0
19053,2012,18.4192982,0
19055,2012,0,0
19057,2012,3.1489232,0
19059,2012,0,0
19061,2012,2.05091,7.6
19063,2012,0,0
19065,2012,0,0
19067,2012,0,0
19069,2012,0,0
19071,2012,0,0
19073,2012,0,0
19075,2012,0,0
19077,2012,0,37.12
19079,2012,0,0
19081,2012,0,0
19083,2012,0,0
19085,2012,0,0
19087,2012,0,0
19089,2012,0,0
19091,2012,0,0
19093,2012,0,0
19095,2012,0,0
19097,2012,0,15.22
19099,2012,0,8.2
19101,2012,0,0
19103,2012,1.71299064,12
19105,2012,0,0
19107,2012,6.2095036,0
19109,2012,0,0
19111,2012,4.7393232,11.23
19113,2012,2.3608784,7.3
19115,2012,8.422266,26.6
19117,2012,6.7573738,0
19119,2012,0,0
19121,2012,0,25.55
19123,2012,0,0
19125,2012,0,8.98
19127,2012,3.1289366,7.34
19129,2012,0,20.22
19131,2012,0,0
19133,2012,0,0
19135,2012,7.0433888,0
19137,2012,0,0
19139,2012,0,0
19141,2012,0,0
19143,2012,0,0
19145,2012,0,25.46
19147,2012,0,0
19149,2012,0,0
19151,2012,0,55.94
19153,2012,3.423356,10.2
19155,2012,2.0748742,4.31
19157,2012,0,0
19159,2012,15.3453188,0
19161,2012,0,0
19163,2012,3.7706888,6.5
19165,2012,0,0
19167,2012,3.416533,0
19169,2012,0,4.39
19171,2012,0,0
19173,2012,0,0
19175,2012,0,0
19177,2012,0,0
19179,2012,4.7561116,11.31
19181,2012,0,0
19183,2012,0,0
19185,2012,11.229577,0
19187,2012,5.6740536,8.05
19189,2012,0,37.74
19191,2012,0,0
19193,2012,1.97716702,2.93
19195,2012,0,0
19197,2012,0,0
20001,2012,0,0
20003,2012,0,0
20005,2012,0,0
20007,2012,0,0
20009,2012,3.8099038,0
20011,2012,0,0
20013,2012,0,0
20015,2012,0,4.56
20017,2012,0,145.09
20019,2012,0,0
20021,2012,4.3410612,14.13
20023,2012,0,0
20025,2012,0,0
20027,2012,0,0
20029,2012,0,0
20031,2012,0,0
20033,2012,0,0
20035,2012,0,8.27
20037,2012,4.5082908,0
20039,2012,0,0
20041,2012,0,15.18
20043,2012,7.1319494,0
20045,2012,1.88257492,9.2
20047,2012,0,0
20049,2012,0,0
20051,2012,3.7105176,0
20053,2012,0,0
20055,2012,3.2791292,10.75
20057,2012,0,0
20059,2012,0,0
20061,2012,3.2438736,24.6
20063,2012,0,0
20065,2012,0,0
20067,2012,0,0
20069,2012,0,0
20071,2012,0,0
20073,2012,0,0
20075,2012,0,151.57
20077,2012,0,0
20079,2012,3.3877874,0
20081,2012,0,0
20083,2012,0,0
20085,2012,0,0
20087,2012,0,0
20089,2012,0,0
20091,2012,0.84521992,6.4
20093,2012,0,0
20095,2012,0,0
20097,2012,0,0
20099,2012,0,18.79
20101,2012,0,0
20103,2012,0,7.8
20105,2012,0,0
20107,2012,0,42.37
20109,2012,0,0
20111,2012,3.4427538,11.85
20113,2012,0,10.22
20115,2012,0,0
20117,2012,0,0
20119,2012,0,0
20121,2012,0,0
20123,2012,0,0
20125,2012,4.8182978,0
20127,2012,0,0
20129,2012,0,0
20131,2012,0,0
20133,2012,0,0
20135,2012,0,0
20137,2012,0,0
20139,2012,4.9779592,0
20141,2012,0,0
20143,2012,0,0
20145,2012,7.5984684,0
20147,2012,0,0
20149,2012,0,0
20151,2012,0,0
20153,2012,0,0
20155,2012,0,0
20157,2012,0,0
20159,2012,0,0
20161,2012,0,5.3
20163,2012,0,0
20165,2012,0,0
20167,2012,0,0
20169,2012,2.6728988,10.9
20171,2012,0,0
20173,2012,3.212434,9.1
20175,2012,0,0
20177,2012,2.5892562,12.9
20179,2012,0,0
20181,2012,0,0
20183,2012,0,0
20185,2012,0,0
20187,2012,0,0
20189,2012,0,0
20191,2012,0,0
20193,2012,0,0
20195,2012,0,0
20197,2012,0,0
20199,2012,0,0
20201,2012,0,0
20203,2012,0,0
20205,2012,0,0
20207,2012,0,0
20209,2012,2.7460976,18.3
21001,2012,6.5450758,21.42
21003,2012,0,19.79
21005,2012,0,18.41
21007,2012,0,36
21009,2012,0,9.38
21011,2012,0,25.42
21013,2012,3.7673536,10.64
21015,2012,0,6.1
21017,2012,0,20.02
21019,2012,0,8.14
21021,2012,0,10.47
21023,2012,6.8623658,47.09
21025,2012,5.4162964,29.34
21027,2012,0,19.93
21029,2012,0,12.7
21031,2012,5.5814558,23.36
21033,2012,0,30.92
21035,2012,0,10.62
21037,2012,2.0976302,9.1
21039,2012,8.9140158,79.46
21041,2012,0,36.7
21043,2012,0,14.63
21045,2012,0,24.87
21047,2012,0,13.7
21049,2012,0,8.38
21051,2012,4.3077044,18.56
21053,2012,6.2363124,29.17
21055,2012,0,32.33
21057,2012,7.6589574,58.66
21059,2012,0,7.5
21061,2012,0,33.14
21063,2012,0,38.56
21065,2012,5.2535258,27.6
21067,2012,1.98195064,24.5
21069,2012,5.241424,27.47
21071,2012,6.4093184,10.27
21073,2012,0,6.02
21075,2012,0,61.3
21077,2012,6.868433,47.18
21079,2012,0,17.74
21081,2012,0,12.25
21083,2012,0,10.65
21085,2012,0,11.55
21087,2012,0,35.35
21089,2012,3.3010762,10.9
21091,2012,0,46.1
21093,2012,0,10.2
21095,2012,3.7435202,14.01
21097,2012,0,16.11
21099,2012,0,16.33
21101,2012,0,8.6
21103,2012,0,19.58
21105,2012,0,84.14
21107,2012,0,6.42
21109,2012,5.477705,30.01
21111,2012,2.3081274,24.4
21113,2012,0,8.06
21115,2012,0,12.83
21117,2012,3.5167802,10.6
21119,2012,4.9807368,18.61
21121,2012,3.5502648,9.45
21123,2012,0,21.2
21125,2012,0,6.73
21127,2012,0,25.24
21129,2012,7.2046934,38.93
21131,2012,5.9841628,35.81
21133,2012,4.0865716,16.7
21135,2012,7.6042328,28.91
21137,2012,0,12.26
21139,2012,0,31.84
21141,2012,3.874485,15.01
21143,2012,0,47.9
21145,2012,0,6.1
21147,2012,4.7050356,22.14
21149,2012,6.4868088,31.56
